Year,Action Type,Details,Capital Cost (EUR),Operating Cost (EUR),Location X,Location Y,Generator Type,Power Output (MW),Efficiency,CO2 Output (tonnes),Operation Percentage,Lifespan (years),Previous State,Impact Description
2025,Add Generator,"GasCombinedCycle",1000000000.00,100000.00,0.0,0.0,"GasCombinedCycle",800.00,1.000,500.00,100,30,"New Installation","Added new GasCombinedCycle power generation capacity"
2025,Add Generator,"PumpedStorage",2000000000.00,40000.00,0.0,0.0,"PumpedStorage",600.00,1.000,0.00,100,80,"New Installation","Added new PumpedStorage power generation capacity"
2025,Add Generator,"DomesticSolar",10000.00,200.00,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2025,Add Generator,"HydroDam",3000000000.00,60000.00,0.0,0.0,"HydroDam",1200.00,1.000,0.00,100,100,"New Installation","Added new HydroDam power generation capacity"
2025,Add Generator,"OffshoreWind",2000000.00,100000.00,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2025,Add Generator,"GasCombinedCycle",1000000000.00,100000.00,0.0,0.0,"GasCombinedCycle",800.00,1.000,500.00,100,30,"New Installation","Added new GasCombinedCycle power generation capacity"
2026,Add Generator,"PumpedStorage",2020000000.00,40400.00,0.0,0.0,"PumpedStorage",600.00,1.000,0.00,100,80,"New Installation","Added new PumpedStorage power generation capacity"
2026,Add Generator,"BatteryStorage",450000000.00,9000000.00,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2027,Add Carbon Offset,"Forest",10000000.00,500000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Forest carbon offset project"
2028,Add Generator,"OnshoreWind",912673.00,45633.65,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2028,Add Carbon Offset,"Forest",10000000.00,500000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Forest carbon offset project"
2028,Add Generator,"HydroDam",3045225375.00,60904.51,0.0,0.0,"HydroDam",1200.00,1.000,0.00,100,100,"New Installation","Added new HydroDam power generation capacity"
2028,Add Generator,"OffshoreWind",1714750.00,85737.50,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2028,Add Generator,"TidalGenerator",1093500000.00,145800.00,0.0,0.0,"TidalGenerator",200.00,1.030,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2028,Add Generator,"PumpedStorage",2060602000.00,41212.04,0.0,0.0,"PumpedStorage",600.00,1.000,0.00,100,80,"New Installation","Added new PumpedStorage power generation capacity"
2028,Add Generator,"UtilitySolar",778688.00,11680.32,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2028,Add Generator,"CoalPlant",2249728000.00,168729.60,0.0,0.0,"CoalPlant",1000.00,1.000,1000.00,100,40,"New Installation","Added new CoalPlant power generation capacity"
2028,Add Generator,"WaveEnergy",681472000.00,170368.00,0.0,0.0,"WaveEnergy",100.00,1.030,0.00,100,20,"New Installation","Added new WaveEnergy power generation capacity"
2028,Add Generator,"OnshoreWind",912673.00,45633.65,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2028,Add Generator,"TidalGenerator",1093500000.00,145800.00,0.0,0.0,"TidalGenerator",200.00,1.030,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2028,Add Generator,"OnshoreWind",912673.00,45633.65,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2028,Add Generator,"TidalGenerator",1093500000.00,145800.00,0.0,0.0,"TidalGenerator",200.00,1.030,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2028,Add Generator,"OnshoreWind",912673.00,45633.65,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2029,Add Generator,"Nuclear",5203020050.00,260151.00,0.0,0.0,"Nuclear",1500.00,1.000,0.00,100,60,"New Installation","Added new Nuclear power generation capacity"
2029,Add Generator,"UtilitySolar",716392.96,10745.89,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2029,Add Generator,"PumpedStorage",2081208020.00,41624.16,0.0,0.0,"PumpedStorage",600.00,1.000,0.00,100,80,"New Installation","Added new PumpedStorage power generation capacity"
2029,Add Generator,"CoalPlant",2339717120.00,175478.78,0.0,0.0,"CoalPlant",1000.00,1.000,1000.00,100,40,"New Installation","Added new CoalPlant power generation capacity"
2030,Add Generator,"HydroDam",3075753759.38,61515.08,0.0,0.0,"HydroDam",1200.00,1.000,0.00,100,100,"New Installation","Added new HydroDam power generation capacity"
2030,Add Generator,"WaveEnergy",527731916.80,131932.98,0.0,0.0,"WaveEnergy",100.00,1.050,0.00,100,20,"New Installation","Added new WaveEnergy power generation capacity"
2031,Add Generator,"UtilitySolar",606355.00,9095.33,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2031,Add Generator,"DomesticSolar",6469.90,129.40,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2031,Add Generator,"WaveEnergy",464404086.78,116101.02,0.0,0.0,"WaveEnergy",100.00,1.060,0.00,100,20,"New Installation","Added new WaveEnergy power generation capacity"
2031,Add Generator,"CoalPlant",2530638036.99,189797.85,0.0,0.0,"CoalPlant",1000.00,1.000,1000.00,100,40,"New Installation","Added new CoalPlant power generation capacity"
2031,Add Generator,"OnshoreWind",832972.00,41648.60,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2031,Add Generator,"GasCombinedCycle",1126162419.26,112616.24,0.0,0.0,"GasCombinedCycle",800.00,1.000,500.00,100,30,"New Installation","Added new GasCombinedCycle power generation capacity"
2031,Add Generator,"CoalPlant",2530638036.99,189797.85,0.0,0.0,"CoalPlant",1000.00,1.000,1000.00,100,40,"New Installation","Added new CoalPlant power generation capacity"
2031,Add Generator,"WaveEnergy",464404086.78,116101.02,0.0,0.0,"WaveEnergy",100.00,1.060,0.00,100,20,"New Installation","Added new WaveEnergy power generation capacity"
2031,Add Generator,"DomesticSolar",6469.90,129.40,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2031,Add Carbon Offset,"ActiveCapture",100000000.00,5000000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new ActiveCapture carbon offset project"
2031,Add Generator,"PumpedStorage",2123040301.20,42460.81,0.0,0.0,"PumpedStorage",600.00,1.000,0.00,100,80,"New Installation","Added new PumpedStorage power generation capacity"
2031,Add Generator,"Biomass",708673904.69,106301.09,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2031,Add Generator,"UtilitySolar",606355.00,9095.33,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2031,Add Generator,"UtilitySolar",606355.00,9095.33,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2031,Add Generator,"PumpedStorage",2123040301.20,42460.81,0.0,0.0,"PumpedStorage",600.00,1.000,0.00,100,80,"New Installation","Added new PumpedStorage power generation capacity"
2031,Add Generator,"TidalGenerator",797161500.00,106288.20,0.0,0.0,"TidalGenerator",200.00,1.060,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2033,Add Generator,"BatteryStorage",215233605.00,4304672.10,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2033,Add Generator,"OnshoreWind",783743.36,39187.17,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2033,Add Generator,"UtilitySolar",513218.87,7698.28,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2033,Add Generator,"UtilitySolar",513218.87,7698.28,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2033,Add Generator,"HydroDam",3122121131.78,62442.42,0.0,0.0,"HydroDam",1200.00,1.000,0.00,100,100,"New Installation","Added new HydroDam power generation capacity"
2033,Add Generator,"HydroDam",3122121131.78,62442.42,0.0,0.0,"HydroDam",1200.00,1.000,0.00,100,100,"New Installation","Added new HydroDam power generation capacity"
2033,Add Generator,"Nuclear",5414283528.14,270714.18,0.0,0.0,"Nuclear",1500.00,1.000,0.00,100,60,"New Installation","Added new Nuclear power generation capacity"
2033,Add Generator,"OnshoreWind",783743.36,39187.17,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2033,Add Generator,"CoalPlant",2737138100.81,205285.36,0.0,0.0,"CoalPlant",1000.00,1.000,1000.00,100,40,"New Installation","Added new CoalPlant power generation capacity"
2033,Add Generator,"OnshoreWind",783743.36,39187.17,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2033,Add Generator,"BatteryStorage",215233605.00,4304672.10,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2033,Add Generator,"OnshoreWind",783743.36,39187.17,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2033,Add Generator,"CommercialSolar",55958.18,11191.64,0.0,0.0,"CommercialSolar",50.00,1.000,0.00,100,25,"New Installation","Added new CommercialSolar power generation capacity"
2033,Add Generator,"Nuclear",5414283528.14,270714.18,0.0,0.0,"Nuclear",1500.00,1.000,0.00,100,60,"New Installation","Added new Nuclear power generation capacity"
2034,Add Generator,"Biomass",666998209.70,100049.73,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2034,Add Carbon Offset,"Wetland",15000000.00,750000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Wetland carbon offset project"
2034,Add Generator,"OffshoreWind",1260498.82,63024.94,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2034,Add Generator,"UtilitySolar",472161.36,7082.42,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2034,Add Generator,"TidalGenerator",581130733.50,77484.10,0.0,0.0,"TidalGenerator",200.00,1.090,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2034,Add Generator,"HydroDam",3137731737.44,62754.63,0.0,0.0,"HydroDam",1200.00,1.000,0.00,100,100,"New Installation","Added new HydroDam power generation capacity"
2034,Add Generator,"TidalGenerator",581130733.50,77484.10,0.0,0.0,"TidalGenerator",200.00,1.090,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2034,Add Generator,"Biomass",666998209.70,100049.73,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2034,Add Carbon Offset,"Wetland",15000000.00,750000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Wetland carbon offset project"
2034,Add Generator,"Biomass",666998209.70,100049.73,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2034,Add Generator,"OnshoreWind",760231.06,38011.55,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2034,Add Carbon Offset,"Forest",10000000.00,500000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Forest carbon offset project"
2034,Add Generator,"HydroDam",3137731737.44,62754.63,0.0,0.0,"HydroDam",1200.00,1.000,0.00,100,100,"New Installation","Added new HydroDam power generation capacity"
2034,Add Generator,"OnshoreWind",760231.06,38011.55,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2034,Add Generator,"OffshoreWind",1260498.82,63024.94,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2035,Add Generator,"UtilitySolar",434388.45,6515.83,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2035,Add Generator,"GasCombinedCycle",1218994419.99,121899.44,0.0,0.0,"GasCombinedCycle",800.00,1.000,500.00,100,30,"New Installation","Added new GasCombinedCycle power generation capacity"
2035,Add Carbon Offset,"ActiveCapture",100000000.00,5000000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new ActiveCapture carbon offset project"
2035,Add Carbon Offset,"Forest",10000000.00,500000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Forest carbon offset project"
2035,Add Generator,"Biomass",653658245.51,98048.74,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2035,Add Generator,"Biomass",653658245.51,98048.74,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2035,Add Generator,"BatteryStorage",174339220.05,3486784.40,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2035,Add Generator,"TidalGenerator",523017660.15,69735.69,0.0,0.0,"TidalGenerator",200.00,1.100,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2035,Add Generator,"DomesticSolar",4839.82,96.80,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2035,Add Generator,"HydroDam",3153420396.12,63068.41,0.0,0.0,"HydroDam",1200.00,1.000,0.00,100,100,"New Installation","Added new HydroDam power generation capacity"
2035,Add Carbon Offset,"CarbonCredit",5000000.00,250000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new CarbonCredit carbon offset project"
2035,Add Generator,"OffshoreWind",1197473.88,59873.69,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2036,Add Generator,"OnshoreWind",715301.40,35765.07,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2036,Add Generator,"Biomass",640585080.60,96087.76,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2036,Add Generator,"OffshoreWind",1137600.18,56880.01,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2036,Add Generator,"HydroDam",3169187498.10,63383.75,0.0,0.0,"HydroDam",1200.00,1.000,0.00,100,100,"New Installation","Added new HydroDam power generation capacity"
2036,Add Generator,"TidalGenerator",470715894.14,62762.12,0.0,0.0,"TidalGenerator",200.00,1.110,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2036,Add Generator,"TidalGenerator",470715894.14,62762.12,0.0,0.0,"TidalGenerator",200.00,1.110,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2036,Add Generator,"OnshoreWind",715301.40,35765.07,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2036,Add Generator,"Biomass",640585080.60,96087.76,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2036,Add Generator,"GasCombinedCycle",1243374308.39,124337.43,0.0,0.0,"GasCombinedCycle",800.00,1.000,500.00,100,30,"New Installation","Added new GasCombinedCycle power generation capacity"
2036,Add Generator,"Biomass",640585080.60,96087.76,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2036,Add Generator,"PumpedStorage",2231336693.33,44626.73,0.0,0.0,"PumpedStorage",600.00,1.000,0.00,100,80,"New Installation","Added new PumpedStorage power generation capacity"
2037,Add Generator,"TidalGenerator",423644304.72,56485.91,0.0,0.0,"TidalGenerator",200.00,1.120,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2037,Add Generator,"DomesticSolar",4185.96,83.72,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2037,Add Generator,"UtilitySolar",367666.39,5515.00,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2037,Add Generator,"BatteryStorage",141214768.24,2824295.36,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2037,Add Generator,"UtilitySolar",367666.39,5515.00,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2037,Add Generator,"CoalPlant",3202064437.14,240154.83,0.0,0.0,"CoalPlant",1000.00,1.000,1000.00,100,40,"New Installation","Added new CoalPlant power generation capacity"
